Title,Year,Rating,Votes,1,2,3,4,5,6,7,8,9,10,WorldwideBox Office
My Blue Heaven,1990,6.2,21327.0,1562.0,1079.0,2836.0,4981.0,5386.0,2986.0,1307.0,592.0,309.0,289.0,23591472.0
Navy Seals,1990,5.5,16949.0,942.0,472.0,1206.0,2669.0,4042.0,3625.0,1913.0,1032.0,524.0,524.0,25069101.0
The NeverEnding Story II: The Next Chapter,1990,5.0,26264.0,1324.0,600.0,1385.0,2905.0,5094.0,6148.0,4057.0,2212.0,1288.0,1251.0,17373527.0
Night of the Living Dead,1990,6.8,42444.0,4347.0,3256.0,7779.0,12707.0,7808.0,3394.0,1355.0,690.0,406.0,702.0,5835247.0
Nightbreed,1990,6.5,23546.0,2509.0,1710.0,3623.0,5740.0,4759.0,2529.0,1250.0,656.0,371.0,399.0,8862354.0
Nikita,1990,7.3,72475.0,6358.0,9084.0,21302.0,20652.0,8745.0,3255.0,1325.0,607.0,428.0,719.0,5017971.0
Pacific Heights,1990,6.4,20737.0,894.0,803.0,2687.0,6077.0,5881.0,2577.0,922.0,447.0,194.0,255.0,44926706.0
Paris Is Burning,1990,8.1,15592.0,3439.0,3393.0,4822.0,2381.0,787.0,258.0,105.0,43.0,87.0,277.0,3905297.0
Postcards from the Edge,1990,6.7,17950.0,1396.0,1158.0,2911.0,5511.0,3936.0,1678.0,658.0,276.0,161.0,265.0,39071603.0
Predator 2,1990,6.3,168566.0,10436.0,7082.0,20805.0,42190.0,45696.0,23592.0,9945.0,4393.0,2385.0,2042.0,57120318.0
Presumed Innocent,1990,6.9,42482.0,1729.0,2558.0,8766.0,16641.0,8648.0,2567.0,792.0,354.0,138.0,289.0,221303188.0
Pretty Woman,1990,7.1,323357.0,35334.0,31780.0,69998.0,96506.0,51678.0,20107.0,8076.0,3798.0,2406.0,3674.0,463406268.0
Problem Child,1990,5.4,31003.0,2536.0,833.0,2214.0,4342.0,6380.0,5829.0,3522.0,2195.0,1511.0,1641.0,72270891.0
Pump Up the Volume,1990,7.2,29160.0,3963.0,3363.0,6492.0,8064.0,3923.0,1718.0,660.0,322.0,252.0,403.0,11541758.0
Quick Change,1990,6.8,20879.0,1649.0,1475.0,3837.0,6618.0,4371.0,1682.0,645.0,247.0,150.0,205.0,15260154.0
The Rescuers Down Under,1990,6.8,43256.0,3598.0,2762.0,7446.0,14536.0,9274.0,3501.0,1132.0,452.0,226.0,329.0,27931461.0
Revenge,1990,6.2,19046.0,1682.0,967.0,2317.0,4112.0,4568.0,2706.0,1255.0,640.0,341.0,458.0,15645616.0
Reversal of Fortune,1990,7.2,16965.0,1088.0,1790.0,4431.0,5609.0,2444.0,887.0,330.0,147.0,94.0,145.0,15445131.0
RoboCop 2,1990,5.8,86975.0,4349.0,2372.0,7098.0,15702.0,24155.0,17965.0,8123.0,3654.0,1890.0,1667.0,45681173.0
Rocky V,1990,5.3,137569.0,8047.0,3066.0,7681.0,17174.0,29685.0,33162.0,19331.0,9664.0,5239.0,4520.0,119946358.0
The Rookie,1990,5.9,27572.0,1093.0,604.0,1931.0,5304.0,8871.0,5699.0,2172.0,948.0,490.0,460.0,21633874.0
Rosencrantz & Guildenstern Are Dead,1990,7.3,22518.0,5006.0,3823.0,4916.0,3925.0,2199.0,1071.0,540.0,338.0,283.0,417.0,739104.0
The Russia House,1990,6.1,16255.0,814.0,634.0,1650.0,3770.0,5020.0,2589.0,924.0,416.0,179.0,259.0,22997992.0
The Sheltering Sky,1990,6.7,12946.0,1233.0,1216.0,2472.0,3361.0,2398.0,1035.0,571.0,274.0,148.0,238.0,2075084.0
State of Grace,1990,7.2,22630.0,2134.0,2414.0,5914.0,6972.0,3299.0,1071.0,345.0,189.0,119.0,173.0,1911542.0
Tales from the Darkside: The Movie,1990,6.2,17506.0,1149.0,616.0,1916.0,4244.0,5106.0,2515.0,1012.0,445.0,235.0,268.0,16324573.0
Teenage Mutant Ninja Turtles,1990,6.7,94484.0,13451.0,6651.0,15409.0,24251.0,18149.0,8782.0,3790.0,1828.0,1015.0,1158.0,202084756.0
Total Recall,1990,7.5,329894.0,29296.0,41197.0,107936.0,94583.0,35982.0,11881.0,4330.0,1987.0,1151.0,1551.0,261317921.0
Tremors,1990,7.1,138437.0,13813.0,12567.0,33231.0,44124.0,20702.0,7675.0,2970.0,1552.0,850.0,953.0,16667084.0
The Two Jakes,1990,6.1,14217.0,584.0,417.0,1407.0,3056.0,4228.0,2296.0,1186.0,606.0,216.0,221.0,10005969.0
White Hunter Black Heart,1990,6.5,12449.0,648.0,765.0,1915.0,3729.0,3040.0,1319.0,511.0,217.0,111.0,194.0,2319124.0
Wild at Heart,1990,7.2,93630.0,9246.0,11244.0,23578.0,25116.0,12574.0,5572.0,2565.0,1450.0,962.0,1323.0,14563251.0
The Witches,1990,6.8,50048.0,4858.0,3381.0,9045.0,15969.0,10058.0,3811.0,1458.0,631.0,330.0,507.0,10360553.0
Young Guns II,1990,6.5,36450.0,3015.0,1978.0,5161.0,9388.0,9070.0,4298.0,1858.0,882.0,393.0,407.0,44143410.0
Yume,1990,7.7,26633.0,4752.0,4698.0,7634.0,5199.0,2306.0,912.0,416.0,218.0,198.0,300.0,2970161.0
Ah Fei jing juen,1990,7.5,22510.0,2451.0,3344.0,6962.0,5720.0,2338.0,868.0,371.0,147.0,117.0,192.0,3255404.0
The Addams Family,1991,6.9,154604.0,14545.0,10814.0,28986.0,49976.0,31377.0,11922.0,3831.0,1574.0,740.0,839.0,191502426.0
L'amant,1992,6.8,21619.0,2440.0,2101.0,4298.0,5995.0,3665.0,1610.0,683.0,351.0,208.0,268.0,5013090.0
Les amants du Pont-Neuf,1991,7.6,14199.0,1868.0,2221.0,4185.0,3322.0,1298.0,616.0,272.0,149.0,99.0,169.0,29679.0
An American Tail: Fievel Goes West,1991,6.4,26527.0,2271.0,1296.0,3514.0,6916.0,7013.0,3300.0,1251.0,459.0,211.0,296.0,40766041.0
Backdraft,1991,6.7,80746.0,4726.0,4799.0,14202.0,26682.0,18117.0,7144.0,2707.0,1161.0,580.0,628.0,152368585.0
Barton Fink,1991,7.6,121903.0,13516.0,20428.0,38988.0,29383.0,11015.0,4141.0,1780.0,991.0,595.0,1066.0,6153939.0
Beauty and the Beast,1991,8.0,452454.0,97055.0,80042.0,134924.0,85938.0,31826.0,11642.0,4292.0,2294.0,1395.0,3046.0,424967620.0
Bill & Ted's Bogus Journey,1991,6.3,76374.0,5339.0,3548.0,9729.0,18355.0,19851.0,10329.0,4581.0,2169.0,1209.0,1264.0,38039850.0
Billy Bathgate,1991,5.9,12161.0,366.0,229.0,878.0,2514.0,3950.0,2525.0,892.0,377.0,209.0,221.0,15565363.0
Bis ans Ende der Welt,1991,6.8,10415.0,1688.0,1254.0,1770.0,2044.0,1529.0,914.0,423.0,280.0,191.0,322.0,829625.0
Boyz n the Hood,1991,7.8,140723.0,18876.0,23522.0,49669.0,32000.0,10026.0,3312.0,1205.0,590.0,440.0,1083.0,57529070.0
Bugsy,1991,6.8,29396.0,1918.0,1801.0,5382.0,9586.0,6327.0,2509.0,922.0,409.0,205.0,337.0,49114016.0
Cape Fear,1991,7.3,194509.0,11935.0,20056.0,57693.0,65223.0,24383.0,8343.0,3221.0,1469.0,869.0,1317.0,182291969.0
Career Opportunities,1991,5.8,15080.0,1032.0,497.0,1259.0,2927.0,4069.0,2881.0,1242.0,608.0,294.0,271.0,11336986.0
City Slickers,1991,6.8,57285.0,2903.0,3370.0,10741.0,19651.0,12552.0,4782.0,1742.0,704.0,385.0,455.0,179033791.0
The Commitments,1991,7.6,35825.0,4666.0,5610.0,11037.0,8699.0,3467.0,1206.0,433.0,244.0,118.0,345.0,14919570.0
Curly Sue,1991,5.8,21909.0,1927.0,865.0,2149.0,3646.0,5005.0,4180.0,1931.0,992.0,540.0,674.0,33691313.0
